hour of the day,northbound bikes,southbound bikes,northbound pedestrians,southbound pedestrians
00:00:00,57,188,50,48
01:00:00,30,69,31,27
02:00:00,18,85,21,23
03:00:00,77,102,11,13
04:00:00,474,166,55,65
05:00:00,2399,976,416,513
06:00:00,7825,3588,2023,1839
07:00:00,13207,6215,3425,3047
08:00:00,16379,8120,6236,6634
09:00:00,11410,10155,7637,6626
10:00:00,10517,12107,6805,6666
11:00:00,12097,13967,5997,5963
12:00:00,12782,13896,5671,5272
13:00:00,12944,15222,5355,4807
14:00:00,13383,15774,5067,4908
15:00:00,13851,16592,5143,5089
16:00:00,13858,20790,5680,5713
17:00:00,12569,24722,4765,4941
18:00:00,9285,17476,3841,3926
19:00:00,5986,8115,2562,2324
20:00:00,3024,3350,1525,1268
21:00:00,1360,1336,628,465
22:00:00,405,564,200,207
23:00:00,154,326,109,103
